"ID","Mark","Competitor","Nationality","Venue","Date","Event","Gender","State_Dope","Time_S"
242,"12.34","Sharika Nelvis","USA","Eugene (Hayward Field), OR",2015-06-26,"100-metres-hurdles","women","NULL",12.34
243,"42.04","Ukraine","UKR","London (Olympic Stadium)",2012-08-10,"4x100-metres-relay","women","NULL",42.04
244,"52.90","Tonja Buford-Bailey","USA","Zürich",1995-08-16,"400-metres-hurdles","women","NULL",52.9
245,"41.78","France","FRA","Paris Saint-Denis (Stade de France)",2003-08-30,"4x100-metres-relay","women","NULL",41.78
246,"12.39","Gail Devers","USA","Zürich",2000-08-11,"100-metres-hurdles","women","NULL",12.39
247,"52.62","Tonja Buford-Bailey","USA","Göteborg (Ullevi Stadium)",1995-08-11,"400-metres-hurdles","women","NULL",52.62
248,"53.23","Sally Gunnell","GBR","Barcelona (Estadio Olímpico)",1992-08-05,"400-metres-hurdles","women","NULL",53.23
249,"49.43","Kathy Smallwood-Cook","GBR","Los Angeles (Memorial Coliseum)",1984-08-06,"400-metres","women","NULL",49.43
250,"49.42","Grit Breuer","GER","Tokyo (Olympic Stadium)",1991-08-27,"400-metres","women","NULL",49.42
251,"49.41","Christine Ohuruogu","GBR","Moskva (Luzhniki)",2013-08-12,"400-metres","women","NULL",49.41
252,"49.35","Anastasiya Kapachinskaya","RUS","Cheboksary",2011-07-22,"400-metres","women","NULL",49.35
253,"49.33","Amantle Montsho","BOT","Monaco (Stade Louis II)",2013-07-19,"400-metres","women","NULL",49.33
254,"49.30","Tonique Williams-Darling","BAH","Zürich",2005-08-19,"400-metres","women","NULL",49.3
255,"49.30","Lorraine Fenton","JAM","Monaco (Stade Louis II)",2002-07-19,"400-metres","women","NULL",49.3
256,"49.29","Antonina Krivoshapka","RUS","Cheboksary",2009-07-23,"400-metres","women","NULL",49.29
257,"49.29","Sanya Richards-Ross","USA","Bruxelles (Boudewijnstadion)",2007-09-14,"400-metres","women","NULL",49.29
258,"49.28","Sanya Richards-Ross","USA","Eugene, OR",2012-06-24,"400-metres","women","NULL",49.28
259,"49.28","Sanya Richards-Ross","USA","Carson, CA",2005-06-25,"400-metres","women","NULL",49.28
260,"49.28","Pauline Davis-Thompson","BAH","Atlanta (Olympic Stadium), GA",1996-07-29,"400-metres","women","NULL",49.28
261,"49.28","Marie-José Pérec","FRA","Göteborg (Ullevi Stadium)",1995-08-08,"400-metres","women","NULL",49.28
262,"49.27","Sanya Richards-Ross","USA","Stuttgart (Gottlieb-Daimler Stadion)",2007-09-23,"400-metres","women","NULL",49.27
263,"49.27","Sanya Richards-Ross","USA","Berlin (Olympiastadion)",2007-09-16,"400-metres","women","NULL",49.27
264,"49.27","Sanya Richards-Ross","USA","Indianapolis, IN",2006-06-24,"400-metres","women","NULL",49.27
265,"49.25","Sanya Richards-Ross","USA","Stuttgart (Gottlieb-Daimler Stadion)",2006-09-10,"400-metres","women","NULL",49.25
266,"49.25","Tonique Williams-Darling","BAH","Roma (Stadio Olimpico)",2004-07-02,"400-metres","women","NULL",49.25
267,"12.43","Queen Harrison","USA","Des Moines, IA",2013-06-22,"100-metres-hurdles","women","NULL",12.43
268,"49.25","Ana Guevara","MEX","Monaco (Stade Louis II)",2002-07-19,"400-metres","women","NULL",49.25
269,"49.23","Sanya Richards-Ross","USA","Oslo (Bislett)",2009-07-03,"400-metres","women","NULL",49.23
270,"49.23","Jarmila Kratochvílová","TCH","Praha",1981-06-19,"400-metres","women","NULL",49.23
271,"49.19","Marie-José Pérec","FRA","Atlanta (Olympic Stadium), GA",1996-07-28,"400-metres","women","NULL",49.19
272,"49.19","Mariya Kulchunova-Pinigina","URS","Helsinki (Olympic Stadium)",1983-08-10,"400-metres","women","NULL",49.19
273,"49.17","Jarmila Kratochvílová","TCH","Frankfurt",1981-07-05,"400-metres","women","NULL",49.17
274,"49.16","Ana Guevara","MEX","Zürich",2002-08-16,"400-metres","women","NULL",49.16
275,"49.11","Ana Guevara","MEX","Zürich",2003-08-15,"400-metres","women","NULL",49.11
276,"49.11","Cathy Freeman","AUS","Sydney (Olympic Stadium)",2000-09-25,"400-metres","women","NULL",49.11
277,"49.10","Falilat Ogunkoya","NGR","Atlanta (Olympic Stadium), GA",1996-07-29,"400-metres","women","NULL",49.1
278,"49.05","Sanya Richards-Ross","USA","London (Crystal Palace)",2006-07-28,"400-metres","women","NULL",49.05
279,"49.05","Olga Vladykina-Bryzgina","UKR","Barcelona (Estadio Olímpico)",1992-08-05,"400-metres","women","NULL",49.05
280,"49.05","Chandra Cheeseborough","USA","Los Angeles (Memorial Coliseum)",1984-08-06,"400-metres","women","NULL",49.05
281,"49.02","Jarmila Kratochvílová","TCH","Rieti",1984-09-02,"400-metres","women","NULL",49.02
282,"49.01","Jarmila Kratochvílová","TCH","Köln",1981-08-23,"400-metres","women","NULL",49.01
283,"48.96","Olga Vladykina-Bryzgina","URS","Leningrad",1985-08-03,"400-metres","women","NULL",48.96
284,"48.94","Sanya Richards-Ross","USA","Zürich (Letzigrund)",2009-08-28,"400-metres","women","NULL",48.94
285,"48.92","Sanya Richards-Ross","USA","Zürich",2005-08-19,"400-metres","women","NULL",48.92
286,"48.86","Jarmila Kratochvílová","TCH","Zürich",1982-08-18,"400-metres","women","NULL",48.86
287,"48.85","Jarmila Kratochvílová","TCH","Athína",1982-09-08,"400-metres","women","NULL",48.85
288,"48.83","Valerie Brisco-Hooks","USA","Los Angeles (Memorial Coliseum)",1984-08-06,"400-metres","women","NULL",48.83
289,"48.73","Tatána Kocembová","TCH","Praha (Stadion Rošický)",1984-08-16,"400-metres","women","NULL",48.73
290,"48.61","Jarmila Kratochvílová","TCH","Roma (Stadio Olimpico)",1981-09-06,"400-metres","women","NULL",48.61
291,"48.59","Tatána Kocembová","TCH","Helsinki (Olympic Stadium)",1983-08-10,"400-metres","women","NULL",48.59
292,"48.45","Jarmila Kratochvílová","TCH","Praha",1983-07-23,"400-metres","women","NULL",48.45
293,"48.27","Olga Vladykina-Bryzgina","UKR","Canberra (Bruce Stadium)",1985-10-06,"400-metres","women","NULL",48.27
294,"48.25","Marie-José Pérec","FRA","Atlanta (Olympic Stadium), GA",1996-07-29,"400-metres","women","NULL",48.25
295,"22.00","Merlene Ottey","JAM","Bruxelles",1992-08-28,"200-metres","women","NULL",22
296,"21.99","Tori Bowie","USA","Eugene (Hayward Field), OR",2016-05-28,"200-metres","women","NULL",21.99
297,"41.41","Jamaica","JAM","London (Olympic Stadium)",2012-08-10,"4x100-metres-relay","women","NULL",41.41
298,"21.99","Marion Jones","USA","Paris (Charléty)",1999-07-21,"200-metres","women","NULL",21.99
299,"21.99","Irina Privalova","RUS","Villeneuve-d'Ascq",1993-07-02,"200-metres","women","NULL",21.99
300,"21.99","Merlene Ottey","JAM","Seoul (Olympic Stadium)",1988-09-29,"200-metres","women","NULL",21.99
301,"21.99","Heike Drechsler","GER","Karl-Marx-Stadt",1988-06-12,"200-metres","women","NULL",21.99
302,"21.99","Chandra Cheeseborough","USA","Indianapolis, IN",1983-06-19,"200-metres","women","NULL",21.99
303,"21.98","Veronica Campbell-Brown","JAM","New York City (Icahn), NY",2010-06-12,"200-metres","women","NULL",21.98
304,"21.98","Veronica Campbell-Brown","JAM","Barcelona (Estadio Olímpico)",2008-07-19,"200-metres","women","NULL",21.98
305,"21.98","Marion Jones","USA","Sydney",1998-02-28,"200-metres","women","NULL",21.98
306,"21.98","Gwen Torrence","USA","Berlin (Olympiastadion)",1995-09-01,"200-metres","women","NULL",21.98
307,"21.98","Gwen Torrence","USA","Zürich",1995-08-16,"200-metres","women","NULL",21.98
308,"21.98","Merlene Ottey","JAM","Monaco (Stade Louis II)",1991-08-03,"200-metres","women","NULL",21.98
309,"21.98","Valerie Brisco-Hooks","USA","Zürich (Letzigrund)",1985-08-21,"200-metres","women","NULL",21.98
310,"21.97","Veronica Campbell-Brown","JAM","Beijing (National Stadium)",2015-08-28,"200-metres","women","NULL",21.97
311,"21.97","Merlene Ottey","JAM","Villeneuve-d'Ascq",1990-06-29,"200-metres","women","NULL",21.97
312,"21.97","Evelyn Ashford","USA","Zürich (Letzigrund)",1986-08-13,"200-metres","women","NULL",21.97
313,"21.97","Jarmila Kratochvílová","TCH","Bratislava",1981-06-06,"200-metres","women","NULL",21.97
314,"21.96","Florence Griffith-Joyner","USA","Indianapolis (University Stadium), IN",1988-07-22,"200-metres","women","NULL",21.96
315,"21.96","Florence Griffith-Joyner","USA","Roma (Stadio Olimpico)",1987-09-03,"200-metres","women","NULL",21.96
316,"21.94","Veronica Campbell-Brown","JAM","Kingston (NS), JAM",2008-06-29,"200-metres","women","NULL",21.94
317,"21.94","Marion Jones","USA","Sacramento, CA",2000-07-23,"200-metres","women","NULL",21.94
318,"21.94","Gwen Torrence","USA","Oslo (Bislett)",1994-07-22,"200-metres","women","NULL",21.94
319,"21.94","Merlene Ottey","JAM","Barcelona (Estadio Olímpico)",1992-08-03,"200-metres","women","NULL",21.94
320,"21.94","Merlene Ottey","JAM","Berlin",1990-07-04,"200-metres","women","NULL",21.94
321,"21.93","Merlene Ottey","JAM","Bruxelles",1995-08-25,"200-metres","women","NULL",21.93
322,"21.93","Pam Marshall","USA","Indianapolis (University Stadium), IN",1988-07-23,"200-metres","women","NULL",21.93
323,"21.93","Merlene Ottey","JAM","Indianapolis, IN",1985-06-16,"200-metres","women","NULL",21.93
324,"21.92","Marion Jones","USA","Monaco (Stade Louis II)",1997-08-16,"200-metres","women","NULL",21.92
325,"21.91","Marion Jones","USA","Helsinki",1999-06-10,"200-metres","women","NULL",21.91
326,"21.88","Allyson Felix","USA","Stockholm",2009-07-31,"200-metres","women","NULL",21.88
327,"49.18","Marie-José Pérec","FRA","Monaco (Stade Louis II)",1996-08-10,"400-metres","women","NULL",49.18
328,"21.88","Irina Privalova","RUS","Rieti",1993-09-05,"200-metres","women","NULL",21.88
329,"21.88","Merlene Ottey","JAM","Athína",1990-09-07,"200-metres","women","NULL",21.88
330,"21.88","Merlene Ottey","JAM","Sestriere",1990-08-08,"200-metres","women","NULL",21.88
331,"21.87","Irina Privalova","RUS","Monaco (Stade Louis II)",1995-07-25,"200-metres","women","NULL",21.87
332,"21.85","Gwen Torrence","USA","Durham, NC",1994-08-12,"200-metres","women","NULL",21.85
333,"21.84","Marion Jones","USA","Roodepoort",1999-03-19,"200-metres","women","NULL",21.84
334,"21.83","Evelyn Ashford","USA","Montréal (Olympic Stadium)",1979-08-24,"200-metres","women","NULL",21.83
335,"21.81","Allyson Felix","USA","Osaka (Nagai Stadium)",2007-08-31,"200-metres","women","NULL",21.81
336,"21.81","Marion Jones","USA","Eugene, OR",1999-05-30,"200-metres","women","NULL",21.81
337,"21.81","Gwen Torrence","USA","Monaco (Stade Louis II)",1995-07-25,"200-metres","women","NULL",21.81
338,"48.83","Marie-José Pérec","FRA","Barcelona (Estadio Olímpico)",1992-08-05,"400-metres","women","NULL",48.83
339,"21.81","Gwen Torrence","USA","Barcelona (Estadio Olímpico)",1992-08-06,"200-metres","women","NULL",21.81
340,"21.81","Merlene Ottey","JAM","Köln",1990-08-19,"200-metres","women","NULL",21.81
341,"21.81","Valerie Brisco-Hooks","USA","Los Angeles (Memorial Coliseum)",1984-08-09,"200-metres","women","NULL",21.81
342,"21.80","Marion Jones","USA","Uniondale (Mitchel AC), NY",1998-07-20,"200-metres","women","NULL",21.8
343,"21.80","Merlene Ottey","JAM","Nice",1990-07-10,"200-metres","women","NULL",21.8
344,"41.91","Germany","GER","Tokyo (Olympic Stadium)",1991-08-31,"4x100-metres-relay","women","NULL",41.91
345,"21.77","Inger Miller","USA","Sevilla (La Cartuja)",1999-08-27,"200-metres","women","NULL",21.77
346,"12.46","Gail Devers","USA","Stuttgart (Gottlieb-Daimler Stadion)",1993-08-20,"100-metres-hurdles","women","NULL",12.46
347,"21.77","Gwen Torrence","USA","Köln",1995-08-18,"200-metres","women","NULL",21.77
348,"21.77","Merlene Ottey","JAM","Monaco (Stade Louis II)",1993-08-07,"200-metres","women","NULL",21.77
349,"21.77","Florence Griffith-Joyner","USA","Indianapolis (University Stadium), IN",1988-07-22,"200-metres","women","NULL",21.77
350,"21.75","Juliet Cuthbert","JAM","Barcelona (Estadio Olímpico)",1992-08-05,"200-metres","women","NULL",21.75
351,"41.52","United States","USA","Athína (Olympic Stadium)",1997-08-08,"4x100-metres-relay","women","NULL",41.52
352,"21.74","Veronica Campbell-Brown","JAM","Beijing (National Stadium)",2008-08-21,"200-metres","women","NULL",21.74
353,"12.24","Kendra Harrison","USA","Eugene (Hayward Field), OR",2016-05-28,"100-metres-hurdles","women","NULL",12.24
354,"21.72","Gwen Torrence","USA","Barcelona (Estadio Olímpico)",1992-08-05,"200-metres","women","NULL",21.72
355,"21.72","Grace Jackson","JAM","Seoul (Olympic Stadium)",1988-09-29,"200-metres","women","NULL",21.72
356,"21.69","Allyson Felix","USA","Eugene, OR",2012-06-30,"200-metres","women","NULL",21.69
357,"21.66","Elaine Thompson","JAM","Beijing (National Stadium)",2015-08-28,"200-metres","women","NULL",21.66
358,"21.64","Merlene Ottey","JAM","Bruxelles",1991-09-13,"200-metres","women","NULL",21.64
359,"21.63","Dafne Schippers","NED","Beijing (National Stadium)",2015-08-28,"200-metres","women","NULL",21.63
360,"21.62","Marion Jones","USA","Johannesburg (SGJ)",1998-09-11,"200-metres","women","NULL",21.62
361,"21.56","Florence Griffith-Joyner","USA","Seoul (Olympic Stadium)",1988-09-29,"200-metres","women","NULL",21.56
362,"53.21","Marie-José Pérec","FRA","Zürich",1995-08-16,"400-metres-hurdles","women","NULL",53.21
363,"21.34","Florence Griffith-Joyner","USA","Seoul (Olympic Stadium)",1988-09-29,"200-metres","women","NULL",21.34
364,"10.83","Ekateríni Thánou","GRE","Sevilla (La Cartuja)",1999-08-22,"100-metres","women","NULL",10.83
365,"10.83","Juliet Cuthbert","JAM","Barcelona (Estadio Olímpico)",1992-08-01,"100-metres","women","NULL",10.83
366,"10.83","Sheila Echols","USA","Indianapolis (University Stadium), IN",1988-07-16,"100-metres","women","NULL",10.83
367,"10.82","Shelly-Ann Fraser-Pryce","JAM","Beijing (National Stadium)",2015-08-24,"100-metres","women","NULL",10.82
368,"10.82","Tori Bowie","USA","Eugene (Hayward Field), OR",2015-05-30,"100-metres","women","NULL",10.82
369,"10.82","Veronica Campbell-Brown","JAM","Kingston (NS), JAM",2012-06-29,"100-metres","women","NULL",10.82
370,"10.82","Carmelita Jeter","USA","Monaco (Stade Louis II)",2010-07-22,"100-metres","women","NULL",10.82
371,"10.82","Zhanna Block","UKR","Edmonton (Commonwealth Stadium)",2001-08-06,"100-metres","women","NULL",10.82
372,"10.82","Marion Jones","USA","Oslo (Bislett)",1998-07-09,"100-metres","women","NULL",10.82
373,"10.82","Gwen Torrence","USA","Atlanta, GA",1996-06-15,"100-metres","women","NULL",10.82
374,"10.82","Gwen Torrence","USA","Paris",1994-09-03,"100-metres","women","NULL",10.82
375,"10.82","Merlene Ottey","JAM","Stuttgart (Gottlieb-Daimler Stadion)",1993-08-16,"100-metres","women","NULL",10.82
376,"10.82","Gail Devers","USA","Barcelona (Estadio Olímpico)",1992-08-01,"100-metres","women","NULL",10.82
377,"10.82","Irina Privalova","RUS","Moskva",1992-06-22,"100-metres","women","NULL",10.82
378,"10.81","English Gardner","USA","Eugene (Hayward Field), OR",2016-05-28,"100-metres","women","NULL",10.81
379,"10.81","Dafne Schippers","NED","Beijing (National Stadium)",2015-08-24,"100-metres","women","NULL",10.81
380,"10.81","Murielle Ahouré","CIV","Eugene (Hayward Field), OR",2015-05-30,"100-metres","women","NULL",10.81
381,"10.81","Carmelita Jeter","USA","Birmingham (Alexander), GBR",2012-08-26,"100-metres","women","NULL",10.81
382,"10.81","Carmelita Jeter","USA","Kingston (NS), JAM",2012-05-05,"100-metres","women","NULL",10.81
383,"10.81","Inger Miller","USA","Sevilla (La Cartuja)",1999-08-22,"100-metres","women","NULL",10.81
384,"10.81","Marion Jones","USA","Berlin (Olympiastadion)",1998-09-01,"100-metres","women","NULL",10.81
385,"10.81","Christine Arron","FRA","Budapest (Népstadion)",1998-08-19,"100-metres","women","NULL",10.81
386,"10.81","Marion Jones","USA","Berlin (Olympiastadion)",1997-08-26,"100-metres","women","NULL",10.81
387,"10.81","Evelyn Ashford","USA","Indianapolis (University Stadium), IN",1988-07-17,"100-metres","women","NULL",10.81
388,"10.80","Tori Bowie","USA","Doha (Hamad Bin Suhaim)",2016-05-06,"100-metres","women","NULL",10.8
389,"10.80","Blessing Okagbare","NGR","Paris Saint-Denis (Stade de France)",2015-07-04,"100-metres","women","NULL",10.8
390,"10.80","Tori Bowie","USA","Monaco (Stade Louis II)",2014-07-18,"100-metres","women","NULL",10.8
391,"12.33","Gail Devers","USA","Sacramento, CA",2000-07-23,"100-metres-hurdles","women","NULL",12.33
392,"10.80","Kerron Stewart","JAM","Kingston (NS), JAM",2008-06-28,"100-metres","women","NULL",10.8
393,"10.80","Marion Jones","USA","London (Crystal Palace)",1999-08-07,"100-metres","women","NULL",10.8
394,"10.80","Marion Jones","USA","Lausanne (Pontaise)",1999-07-02,"100-metres","women","NULL",10.8
395,"10.80","Marion Jones","USA","Bruxelles",1998-08-28,"100-metres","women","NULL",10.8
396,"10.80","Merlene Ottey","JAM","Salamanca (Helmántico)",1992-07-13,"100-metres","women","NULL",10.8
397,"10.79","Shelly-Ann Fraser-Pryce","JAM","Kingston (NS), JAM",2015-06-26,"100-metres","women","NULL",10.79
398,"10.79","Shelly-Ann Fraser-Pryce","JAM","Berlin (Olympiastadion)",2009-08-17,"100-metres","women","NULL",10.79
399,"10.79","Marion Jones","USA","Osaka",1998-05-09,"100-metres","women","NULL",10.79
400,"10.79","Evelyn Ashford","USA","Colorado Springs, CO",1983-07-03,"100-metres","women","NULL",10.79
401,"10.78","Tori Bowie","USA","Eugene (Hayward Field), OR",2016-07-03,"100-metres","women","NULL",10.78
402,"10.78","Tianna Bartoletta","USA","Eugene (Hayward Field), OR",2016-07-03,"100-metres","women","NULL",10.78
403,"10.78","Murielle Ahouré","CIV","Montverde, FL",2016-06-11,"100-metres","women","NULL",10.78
404,"10.78","Carmelita Jeter","USA","London (Olympic Stadium)",2012-08-04,"100-metres","women","NULL",10.78
405,"10.78","Carmelita Jeter","USA","Bruxelles (Boudewijnstadion)",2011-09-16,"100-metres","women","NULL",10.78
406,"10.78","Veronica Campbell-Brown","JAM","Eugene (Hayward Field), OR",2010-07-03,"100-metres","women","NULL",10.78
407,"52.83","Zuzana Hejnová","CZE","Moskva (Luzhniki)",2013-08-15,"400-metres-hurdles","women","NULL",52.83
408,"10.78","Shelly-Ann Fraser-Pryce","JAM","Beijing (National Stadium)",2008-08-17,"100-metres","women","NULL",10.78
409,"10.78","Torri Edwards","USA","Eugene, OR",2008-06-28,"100-metres","women","NULL",10.78
410,"21.86","Gwen Torrence","USA","Bruxelles",1995-08-25,"200-metres","women","NULL",21.86
411,"10.78","Merlene Ottey","JAM","Paris",1994-09-03,"100-metres","women","NULL",10.78
412,"10.78","Merlene Ottey","JAM","Sevilla",1990-05-30,"100-metres","women","NULL",10.78
413,"10.78","Dawn Sowell","USA","Provo, UT",1989-06-03,"100-metres","women","NULL",10.78
414,"10.77","Shelly-Ann Fraser-Pryce","JAM","London (Olympic Stadium)",2013-07-27,"100-metres","women","NULL",10.77
415,"10.77","Irina Privalova","RUS","Lausanne (Pontaise)",1994-07-06,"100-metres","women","NULL",10.77
416,"10.76","Shelly-Ann Fraser-Pryce","JAM","Beijing (National Stadium)",2015-08-24,"100-metres","women","NULL",10.76
417,"10.76","Veronica Campbell-Brown","JAM","Ostrava (Mestský Stadion)",2011-05-31,"100-metres","women","NULL",10.76
418,"10.76","Marion Jones","USA","Bruxelles",1997-08-22,"100-metres","women","NULL",10.76
419,"10.76","Evelyn Ashford","USA","Zürich",1984-08-22,"100-metres","women","NULL",10.76
420,"10.75","Shelly-Ann Fraser-Pryce","JAM","London (Olympic Stadium)",2012-08-04,"100-metres","women","NULL",10.75
421,"10.75","Kerron Stewart","JAM","Roma (Stadio Olimpico)",2009-07-10,"100-metres","women","NULL",10.75
422,"10.74","Shelly-Ann Fraser-Pryce","JAM","Paris Saint-Denis (Stade de France)",2015-07-04,"100-metres","women","NULL",10.74
423,"10.74","Merlene Ottey","JAM","Milano (Arena Civica)",1996-09-07,"100-metres","women","NULL",10.74
424,"10.73","Christine Arron","FRA","Budapest (Népstadion)",1998-08-19,"100-metres","women","NULL",10.73
425,"10.72","Shelly-Ann Fraser-Pryce","JAM","Bruxelles (Boudewijnstadion)",2013-09-06,"100-metres","women","NULL",10.72
426,"10.72","Marion Jones","USA","Lausanne (Pontaise)",1998-08-25,"100-metres","women","NULL",10.72
427,"10.72","Marion Jones","USA","Monaco (Stade Louis II)",1998-08-08,"100-metres","women","NULL",10.72
428,"10.71","Shelly-Ann Fraser-Pryce","JAM","Moskva (Luzhniki)",2013-08-12,"100-metres","women","NULL",10.71
429,"10.71","Marion Jones","USA","New Orleans, LA",1998-06-19,"100-metres","women","NULL",10.71
430,"10.71","Marion Jones","USA","Chengdu",1998-05-12,"100-metres","women","NULL",10.71
431,"10.70","Elaine Thompson","JAM","Kingston (NS), JAM",2016-07-01,"100-metres","women","NULL",10.7
432,"10.70","Shelly-Ann Fraser-Pryce","JAM","Kingston (NS), JAM",2012-06-29,"100-metres","women","NULL",10.7
433,"10.70","Carmelita Jeter","USA","Eugene (Hayward Field), OR",2011-06-04,"100-metres","women","NULL",10.7
434,"10.70","Marion Jones","USA","Sevilla (La Cartuja)",1999-08-22,"100-metres","women","NULL",10.7
435,"10.70","Florence Griffith-Joyner","USA","Indianapolis (University Stadium), IN",1988-07-17,"100-metres","women","NULL",10.7
436,"10.67","Carmelita Jeter","USA","Thessaloníki",2009-09-13,"100-metres","women","NULL",10.67
437,"10.65","Marion Jones","USA","Johannesburg (SGJ)",1998-09-12,"100-metres","women","NULL",10.65
438,"10.64","Carmelita Jeter","USA","Shanghai",2009-09-20,"100-metres","women","NULL",10.64
439,"49.15","Tonique Williams-Darling","BAH","Paris Saint-Denis",2004-07-23,"400-metres","women","NULL",49.15
440,"12.44","Glory Alozie","NGR","Bruxelles",1998-08-28,"100-metres-hurdles","women","NULL",12.44
441,"41.65","United States","USA","Los Angeles (Memorial Coliseum)",1984-08-11,"4x100-metres-relay","women","NULL",41.65
442,"49.11","Olga V. Nazarova","URS","Seoul (Olympic Stadium)",1988-09-25,"400-metres","women","NULL",49.11
443,"21.76","Florence Griffith-Joyner","USA","Seoul (Olympic Stadium)",1988-09-28,"200-metres","women","NULL",21.76
444,"52.88","Dalilah Muhammad","USA","Eugene (Hayward Field), OR",2016-07-10,"400-metres-hurdles","women","NULL",52.88
445,"49.13","Marie-José Pérec","FRA","Tokyo (Olympic Stadium)",1991-08-27,"400-metres","women","NULL",49.13
446,"49.23","Tatána Kocembová","TCH","Budapest",1984-08-20,"400-metres","women","NULL",49.23
447,"21.93","Dafne Schippers","NED","Oslo (Bislett)",2016-06-09,"200-metres","women","NULL",21.93
448,"12.45","Michelle Perry","USA","Réthimno",2005-07-10,"100-metres-hurdles","women","NULL",12.45
449,"12.42","Kendra Harrison","USA","George Town, CAY",2016-05-14,"100-metres-hurdles","women","NULL",12.42
450,"54.01","Cassandra Tate","USA","Eugene (Hayward Field), OR",2015-06-28,"400-metres-hurdles","women","NULL",54.01
451,"42.00","United States","USA","Johannesburg (SGJ)",1998-09-13,"4x100-metres-relay","women","NULL",42
452,"12.34","Brianna Rollins","USA","Eugene (Hayward Field), OR",2016-07-08,"100-metres-hurdles","women","NULL",12.34
453,"12.39","Sally Pearson","AUS","London (Olympic Stadium)",2012-08-07,"100-metres-hurdles","women","NULL",12.39
454,"12.36","Grazyna Rabsztyn","POL","Warszawa",1980-06-13,"100-metres-hurdles","women","NULL",12.36
455,"53.06","Kim Batten","USA","Paris",1998-07-29,"400-metres-hurdles","women","NULL",53.06
456,"49.30","Tatána Kocembová","TCH","Paris",1984-09-04,"400-metres","women","NULL",49.3
457,"10.61","Florence Griffith-Joyner","USA","Indianapolis (University Stadium), IN",1988-07-17,"100-metres","women","NULL",10.61
458,"12.33","Yordanka Donkova","BUL","Fürth",1987-06-14,"100-metres-hurdles","women","NULL",12.33
459,"41.96","United States","USA","Roma (Stadio Olimpico)",1987-09-05,"4x100-metres-relay","women","NULL",41.96
460,"12.25","Ginka Zagorcheva","BUL","Dráma",1987-08-08,"100-metres-hurdles","women","NULL",12.25
461,"44.08","Harry Reynolds","USA","Lausanne (Pontaise)",1997-07-02,"400-metres","men","NULL",44.08
462,"53.36","Andrea Blackett","BAR","Sevilla (La Cartuja)",1999-08-25,"400-metres-hurdles","women","NULL",53.36
463,"41.83","Jamaica","JAM","Glasgow (Hampden Park)",2014-08-02,"4x100-metres-relay","women","NULL",41.83
464,"47.62","Winthrop Graham","JAM","Stuttgart (Gottlieb-Daimler Stadion)",1993-08-19,"400-metres-hurdles","men","NULL",47.62
465,"38.04","Texas Christian University","UND","Amherst",1998-06-05,"4x100-metres-relay","men","NULL",38.04
466,"38.02","USSR","URS","Roma (Stadio Olimpico)",1987-09-06,"4x100-metres-relay","men","NULL",38.02
467,"38.00","Santa Monica Track Club","USA","Walnut (Hilmer Lodge), CA",1993-04-17,"4x100-metres-relay","men","NULL",38
468,"12.97","Dayron Robles","CUB","Zürich (Letzigrund)",2008-08-29,"110-metres-hurdles","men","NULL",12.97
469,"37.82","Racers Track Club","JAM","Kingston (NS), JAM",2012-04-14,"4x100-metres-relay","men","NULL",37.82
470,"38.00","Cuba","CUB","Barcelona (Estadio Olímpico)",1992-08-08,"4x100-metres-relay","men","NULL",38
471,"37.99","Brazil","BRA","Osaka (Nagai Stadium)",2007-09-01,"4x100-metres-relay","men","NULL",37.99
472,"37.99","Canada","CAN","Stuttgart (Gottlieb-Daimler Stadion)",1993-08-21,"4x100-metres-relay","men","NULL",37.99
473,"37.99","United States","USA","Zürich (Letzigrund)",1993-08-04,"4x100-metres-relay","men","NULL",37.99
474,"37.98","United States","USA","Moskva",1986-07-09,"4x100-metres-relay","men","NULL",37.98
475,"37.97","Santa Monica Track Club","USA","Walnut (Hilmer Lodge), CA",1992-04-18,"4x100-metres-relay","men","NULL",37.97
476,"37.96","United States","USA","Linz",1997-07-09,"4x100-metres-relay","men","NULL",37.96
477,"19.84","Alonso Edward","PAN","Lausanne (Pontaise)",2014-07-03,"200-metres","men","NULL",19.84
478,"37.96","United States","USA","Atlanta (Olympic Stadium), GA",1996-08-02,"4x100-metres-relay","men","NULL",37.96
479,"37.92","Canada","CAN","Moskva (Luzhniki)",2013-08-18,"4x100-metres-relay","men","NULL",37.92
480,"38.02","Germany","GER","Weinheim",2012-07-27,"4x100-metres-relay","men","NULL",38.02
481,"37.92","United States","USA","München",2004-08-08,"4x100-metres-relay","men","NULL",37.92
482,"37.91","United States","USA","Beijing (National Stadium)",2015-08-29,"4x100-metres-relay","men","NULL",37.91
483,"37.91","Trinidad and Tobago","TTO","Daegu (DS)",2011-09-04,"4x100-metres-relay","men","NULL",37.91
484,"37.90","United States ""Red""","USA","Lignano Sabbiadoro",2011-07-19,"4x100-metres-relay","men","NULL",37.9
485,"37.90","Jamaica","JAM","Philadelphia (Franklin Field), PA",2010-04-24,"4x100-metres-relay","men","NULL",37.9
486,"37.90","United States","USA","Uniondale (Mitchel AC), NY",1998-07-22,"4x100-metres-relay","men","NULL",37.9
487,"53.32","Sandra Glover","USA","Helsinki (Olympic Stadium)",2005-08-13,"400-metres-hurdles","women","NULL",53.32
488,"37.88","France","FRA","Beijing (National Stadium)",2015-08-29,"4x100-metres-relay","men","NULL",37.88
